Place 1;Place 2;Distance (km)
Kyogle Council;Lockhart Shire;11970.29
Kyogle Council;Lord Howe Island;14230.54
Kyogle Council;Maitland, City of;7542.28
Kyogle Council;Mid-Coast Council;0.0
Kyogle Council;Mid-Western Regional;15113.35
Kyogle Council;Moree Plains Shire;15031.21
Kyogle Council;Mosman Council;15003.36
Kyogle Council;Murray River Council;0.0
Kyogle Council;Murrumbidgee Council;15532.86
Kyogle Council;Muswellbrook Shire;11970.29
Kyogle Council;Nambucca Shire;14781.56
Kyogle Council;Narrandera Shire;11970.29
Kyogle Council;Narrabri Shire;11970.29
Kyogle Council;Narromine Shire;11970.29
Kyogle Council;Newcastle, City of;14933.48
Kyogle Council;Northern Beaches Council;0.0
Kyogle Council;North Sydney Council;0.0
Kyogle Council;Oberon Shire;11970.29
Kyogle Council;Orange, City of;1353.76
Kyogle Council;Parkes Shire;11970.29
Kyogle Council;Parramatta Council, City of;15024.4
Kyogle Council;Penrith, City of;7542.28
Kyogle Council;Port Macquarie-Hastings Council;14822.6
Kyogle Council;Port Stephens Council;0.0
Kyogle Council;Queanbeyan-Palerang Regional Council;13502.98
Kyogle Council;Randwick, City of;15005.09
Kyogle Council;Richmond Valley Council;0.0
Kyogle Council;Ryde, City of;15014.67
Kyogle Council;Singleton Council;0.0
Kyogle Council;Shellharbour, City of;15053.15
Kyogle Council;Shoalhaven, City of;7542.28
Kyogle Council;Snowy Monaro Regional Council;15261.86
Kyogle Council;Snowy Valleys Council;0.0
Kyogle Council;Strathfield, Municipality of;15018.78
Kyogle Council;Sutherland Shire;15030.68
Kyogle Council;Sydney, City of;7542.28
Kyogle Council;Tamworth Regional Council;0.0
Kyogle Council;Temora Shire;11970.29
Kyogle Council;Tenterfield Shire;11970.29
Kyogle Council;Tweed Shire;14660.58
Kyogle Council;Unincorporated Far West;834.7
Kyogle Council;Upper Hunter Shire;14970.42
Kyogle Council;Upper Lachlan Shire;15180.34
Kyogle Council;Uralla Shire;11970.29
Kyogle Council;Wagga Wagga, City of;15378.39
Kyogle Council;Walcha Shire;11970.29
Kyogle Council;Walgett Shire;11970.29
Kyogle Council;Warren Shire;11970.29
Kyogle Council;Warrumbungle Shire;15109.75
Kyogle Council;Waverley Council;0.0
Kyogle Council;Weddin Shire;11970.29
Kyogle Council;Wentworth Shire;11970.29
Kyogle Council;Willoughby, City of;15006.69
Kyogle Council;Wingecarribee Shire;11970.29
Kyogle Council;Wollondilly Shire;11970.29
Kyogle Council;Wollongong, City of;15047.49
Kyogle Council;Woollahra, Municipality of;7542.28
Kyogle Council;Yass Valley Council;15243.1
Lachlan Shire;Lake Macquarie, City of;4800.14
Lachlan Shire;Lane Cove, Municipality of;4800.14
Lachlan Shire;Leeton Shire;0.0
Lachlan Shire;Lismore, City of;4800.14
Lachlan Shire;Lithgow, City of;4800.14
Lachlan Shire;Liverpool, City of;4800.14
Lachlan Shire;Liverpool Plains Shire;0.0
Lachlan Shire;Lockhart Shire;0.0
Lachlan Shire;Lord Howe Island;13723.33
Lachlan Shire;Maitland, City of;4800.14
Lachlan Shire;Mid-Coast Council;11970.29
Lachlan Shire;Mid-Western Regional;12839.76
Lachlan Shire;Moree Plains Shire;12820.17
Lachlan Shire;Mosman Council;12980.71
Lachlan Shire;Murray River Council;11970.29
Lachlan Shire;Murrumbidgee Council;12460.67
Lachlan Shire;Muswellbrook Shire;0.0
Lachlan Shire;Nambucca Shire;13128.08
Lachlan Shire;Narrandera Shire;0.0
Lachlan Shire;Narrabri Shire;0.0
Lachlan Shire;Narromine Shire;0.0
Lachlan Shire;Newcastle, City of;13031.73
Lachlan Shire;Northern Beaches Council;11970.29
Lachlan Shire;North Sydney Council;11970.29
Lachlan Shire;Oberon Shire;0.0
Lachlan Shire;Orange, City of;10787.22
Lachlan Shire;Parkes Shire;0.0
Lachlan Shire;Parramatta Council, City of;12958.91
Lachlan Shire;Penrith, City of;4800.14
Lachlan Shire;Port Macquarie-Hastings Council;13106.19
Lachlan Shire;Port Stephens Council;11970.29
Lachlan Shire;Queanbeyan-Palerang Regional Council;14515.99
Lachlan Shire;Randwick, City of;12980.67
Lachlan Shire;Richmond Valley Council;11970.29
Lachlan Shire;Ryde, City of;12968.79
Lachlan Shire;Singleton Council;11970.29
Lachlan Shire;Shellharbour, City of;12945.2
Lachlan Shire;Shoalhaven, City of;4800.14
Lachlan Shire;Snowy Monaro Regional Council;12764.7
Lachlan Shire;Snowy Valleys Council;11970.29
Lachlan Shire;Strathfield, Municipality of;12966.08
Lachlan Shire;Sutherland Shire;12958.13
Lachlan Shire;Sydney, City of;4800.14
Lachlan Shire;Tamworth Regional Council;11970.29
Lachlan Shire;Temora Shire;0.0
Lachlan Shire;Tenterfield Shire;0.0
Lachlan Shire;Tweed Shire;13176.16
Lachlan Shire;Unincorporated Far West;11475.95
Lachlan Shire;Upper Hunter Shire;12967.61
Lachlan Shire;Upper Lachlan Shire;12811.59
Lachlan Shire;Uralla Shire;0.0
Lachlan Shire;Wagga Wagga, City of;12625.5
Lachlan Shire;Walcha Shire;0.0
Lachlan Shire;Walgett Shire;0.0
Lachlan Shire;Warren Shire;0.0
Lachlan Shire;Warrumbungle Shire;12812.37
Lachlan Shire;Waverley Council;11970.29
Lachlan Shire;Weddin Shire;0.0
Lachlan Shire;Wentworth Shire;0.0
Lachlan Shire;Willoughby, City of;12976.82
Lachlan Shire;Wingecarribee Shire;0.0
Lachlan Shire;Wollondilly Shire;0.0
Lachlan Shire;Wollongong, City of;12948.04
Lachlan Shire;Woollahra, Municipality of;4800.14
Lachlan Shire;Yass Valley Council;12760.18
Lake Macquarie, City of;Lane Cove, Municipality of;0.0
Lake Macquarie, City of;Leeton Shire;4800.14
Lake Macquarie, City of;Lismore, City of;0.0
Lake Macquarie, City of;Lithgow, City of;0.0
Lake Macquarie, City of;Liverpool, City of;0.0
Lake Macquarie, City of;Liverpool Plains Shire;4800.14
Lake Macquarie, City of;Lockhart Shire;4800.14
Lake Macquarie, City of;Lord Howe Island;16815.65
Lake Macquarie, City of;Maitland, City of;0.0
Lake Macquarie, City of;Mid-Coast Council;7542.28
Lake Macquarie, City of;Mid-Western Regional;16280.78
Lake Macquarie, City of;Moree Plains Shire;16008.07
Lake Macquarie, City of;Mosman Council;16476.24
Lake Macquarie, City of;Murray River Council;7542.28
Lake Macquarie, City of;Murrumbidgee Council;16140.92
Lake Macquarie, City of;Muswellbrook Shire;4800.14
Lake Macquarie, City of;Nambucca Shire;16339.29
Lake Macquarie, City of;Narrandera Shire;4800.14
Lake Macquarie, City of;Narrabri Shire;4800.14
Lake Macquarie, City of;Narromine Shire;4800.14
Lake Macquarie, City of;Newcastle, City of;16445.28
Lake Macquarie, City of;Northern Beaches Council;7542.28
Lake Macquarie, City of;North Sydney Council;7542.28
Lake Macquarie, City of;Oberon Shire;4800.14
Lake Macquarie, City of;Orange, City of;6225.91
Lake Macquarie, City of;Parkes Shire;4800.14
Lake Macquarie, City of;Parramatta Council, City of;16458.86
Lake Macquarie, City of;Penrith, City of;0.0
Lake Macquarie, City of;Port Macquarie-Hastings Council;16380.12
Lake Macquarie, City of;Port Stephens Council;7542.28
Lake Macquarie, City of;Queanbeyan-Palerang Regional Council;18533.09
Lake Macquarie, City of;Randwick, City of;16482.34
Lake Macquarie, City of;Richmond Valley Council;7542.28
Lake Macquarie, City of;Ryde, City of;16466.06
Lake Macquarie, City of;Singleton Council;7542.28
Lake Macquarie, City of;Shellharbour, City of;16505.42
Lake Macquarie, City of;Shoalhaven, City of;0.0
Lake Macquarie, City of;Snowy Monaro Regional Council;16498.29
Lake Macquarie, City of;Snowy Valleys Council;7542.28
Lake Macquarie, City of;Strathfield, Municipality of;16469.22
Lake Macquarie, City of;Sutherland Shire;16478.15
Lake Macquarie, City of;Sydney, City of;0.0
Lake Macquarie, City of;Tamworth Regional Council;7542.28
Lake Macquarie, City of;Temora Shire;4800.14
Lake Macquarie, City of;Tenterfield Shire;4800.14
Lake Macquarie, City of;Tweed Shire;16182.75
Lake Macquarie, City of;Unincorporated Far West;6889.76
Lake Macquarie, City of;Upper Hunter Shire;16319.91
Lake Macquarie, City of;Upper Lachlan Shire;16388.36
Lake Macquarie, City of;Uralla Shire;4800.14
Lake Macquarie, City of;Wagga Wagga, City of;16299.0
Lake Macquarie, City of;Walcha Shire;4800.14
Lake Macquarie, City of;Walgett Shire;4800.14
Lake Macquarie, City of;Warren Shire;4800.14
Lake Macquarie, City of;Warrumbungle Shire;16175.37
Lake Macquarie, City of;Waverley Council;7542.28
Lake Macquarie, City of;Weddin Shire;4800.14
Lake Macquarie, City of;Wentworth Shire;4800.14
Lake Macquarie, City of;Willoughby, City of;16471.62
Lake Macquarie, City of;Wingecarribee Shire;4800.14
Lake Macquarie, City of;Wollondilly Shire;4800.14
Lake Macquarie, City of;Wollongong, City of;16496.48
Lake Macquarie, City of;Woollahra, Municipality of;0.0
Lake Macquarie, City of;Yass Valley Council;16394.35
Lane Cove, Municipality of;Leeton Shire;4800.14
Lane Cove, Municipality of;Lismore, City of;0.0
Lane Cove, Municipality of;Lithgow, City of;0.0
Lane Cove, Municipality of;Liverpool, City of;0.0
Lane Cove, Municipality of;Liverpool Plains Shire;4800.14
Lane Cove, Municipality of;Lockhart Shire;4800.14
Lane Cove, Municipality of;Lord Howe Island;16815.65
Lane Cove, Municipality of;Maitland, City of;0.0
Lane Cove, Municipality of;Mid-Coast Council;7542.28
Lane Cove, Municipality of;Mid-Western Regional;16280.78
Lane Cove, Municipality of;Moree Plains Shire;16008.07
Lane Cove, Municipality of;Mosman Council;16476.24
Lane Cove, Municipality of;Murray River Council;7542.28
Lane Cove, Municipality of;Murrumbidgee Council;16140.92
Lane Cove, Municipality of;Muswellbrook Shire;4800.14
Lane Cove, Municipality of;Nambucca Shire;16339.29
Lane Cove, Municipality of;Narrandera Shire;4800.14
Lane Cove, Municipality of;Narrabri Shire;4800.14
Lane Cove, Municipality of;Narromine Shire;4800.14
Lane Cove, Municipality of;Newcastle, City of;16445.28
Lane Cove, Municipality of;Northern Beaches Council;7542.28
Lane Cove, Municipality of;North Sydney Council;7542.28
Lane Cove, Municipality of;Oberon Shire;4800.14
Lane Cove, Municipality of;Orange, City of;6225.91
Lane Cove, Municipality of;Parkes Shire;4800.14
Lane Cove, Municipality of;Parramatta Council, City of;16458.86
Lane Cove, Municipality of;Penrith, City of;0.0
Lane Cove, Municipality of;Port Macquarie-Hastings Council;16380.12
Lane Cove, Municipality of;Port Stephens Council;7542.28
Lane Cove, Municipality of;Queanbeyan-Palerang Regional Council;18533.09
Lane Cove, Municipality of;Randwick, City of;16482.34
Lane Cove, Municipality of;Richmond Valley Council;7542.28
Lane Cove, Municipality of;Ryde, City of;16466.06
Lane Cove, Municipality of;Singleton Council;7542.28
Lane Cove, Municipality of;Shellharbour, City of;16505.42
Lane Cove, Municipality of;Shoalhaven, City of;0.0
Lane Cove, Municipality of;Snowy Monaro Regional Council;16498.29
Lane Cove, Municipality of;Snowy Valleys Council;7542.28
Lane Cove, Municipality of;Strathfield, Municipality of;16469.22
Lane Cove, Municipality of;Sutherland Shire;16478.15
Lane Cove, Municipality of;Sydney, City of;0.0
Lane Cove, Municipality of;Tamworth Regional Council;7542.28
Lane Cove, Municipality of;Temora Shire;4800.14
Lane Cove, Municipality of;Tenterfield Shire;4800.14
Lane Cove, Municipality of;Tweed Shire;16182.75
Lane Cove, Municipality of;Unincorporated Far West;6889.76
Lane Cove, Municipality of;Upper Hunter Shire;16319.91
Lane Cove, Municipality of;Upper Lachlan Shire;16388.36
Lane Cove, Municipality of;Uralla Shire;4800.14
Lane Cove, Municipality of;Wagga Wagga, City of;16299.0
Lane Cove, Municipality of;Walcha Shire;4800.14
Lane Cove, Municipality of;Walgett Shire;4800.14
Lane Cove, Municipality of;Warren Shire;4800.14
Lane Cove, Municipality of;Warrumbungle Shire;16175.37
Lane Cove, Municipality of;Waverley Council;7542.28
Lane Cove, Municipality of;Weddin Shire;4800.14
Lane Cove, Municipality of;Wentworth Shire;4800.14
Lane Cove, Municipality of;Willoughby, City of;16471.62
Lane Cove, Municipality of;Wingecarribee Shire;4800.14
Lane Cove, Municipality of;Wollondilly Shire;4800.14
Lane Cove, Municipality of;Wollongong, City of;16496.48
Lane Cove, Municipality of;Woollahra, Municipality of;0.0
Lane Cove, Municipality of;Yass Valley Council;16394.35
Leeton Shire;Lismore, City of;4800.14
Leeton Shire;Lithgow, City of;4800.14
Leeton Shire;Liverpool, City of;4800.14
Leeton Shire;Liverpool Plains Shire;0.0
Leeton Shire;Lockhart Shire;0.0
Leeton Shire;Lord Howe Island;13723.33
Leeton Shire;Maitland, City of;4800.14
Leeton Shire;Mid-Coast Council;11970.29
Leeton Shire;Mid-Western Regional;12839.76
Leeton Shire;Moree Plains Shire;12820.17
Leeton Shire;Mosman Council;12980.71
Leeton Shire;Murray River Council;11970.29
Leeton Shire;Murrumbidgee Council;12460.67
Leeton Shire;Muswellbrook Shire;0.0
Leeton Shire;Nambucca Shire;13128.08
Leeton Shire;Narrandera Shire;0.0
Leeton Shire;Narrabri Shire;0.0
Leeton Shire;Narromine Shire;0.0
Leeton Shire;Newcastle, City of;13031.73
Leeton Shire;Northern Beaches Council;11970.29
Leeton Shire;North Sydney Council;11970.29
Leeton Shire;Oberon Shire;0.0
Leeton Shire;Orange, City of;10787.22
Leeton Shire;Parkes Shire;0.0
Leeton Shire;Parramatta Council, City of;12958.91
Leeton Shire;Penrith, City of;4800.14
Leeton Shire;Port Macquarie-Hastings Council;13106.19
Leeton Shire;Port Stephens Council;11970.29
Leeton Shire;Queanbeyan-Palerang Regional Council;14515.99
Leeton Shire;Randwick, City of;12980.67
Leeton Shire;Richmond Valley Council;11970.29
Leeton Shire;Ryde, City of;12968.79
Leeton Shire;Singleton Council;11970.29
Leeton Shire;Shellharbour, City of;12945.2
Leeton Shire;Shoalhaven, City of;4800.14
Leeton Shire;Snowy Monaro Regional Council;12764.7
Leeton Shire;Snowy Valleys Council;11970.29
Leeton Shire;Strathfield, Municipality of;12966.08
Leeton Shire;Sutherland Shire;12958.13
Leeton Shire;Sydney, City of;4800.14
Leeton Shire;Tamworth Regional Council;11970.29
Leeton Shire;Temora Shire;0.0
Leeton Shire;Tenterfield Shire;0.0
Leeton Shire;Tweed Shire;13176.16
Leeton Shire;Unincorporated Far West;11475.95
Leeton Shire;Upper Hunter Shire;12967.61
Leeton Shire;Upper Lachlan Shire;12811.59
Leeton Shire;Uralla Shire;0.0
Leeton Shire;Wagga Wagga, City of;12625.5
Leeton Shire;Walcha Shire;0.0
Leeton Shire;Walgett Shire;0.0
Leeton Shire;Warren Shire;0.0
Leeton Shire;Warrumbungle Shire;12812.37
Leeton Shire;Waverley Council;11970.29
Leeton Shire;Weddin Shire;0.0
Leeton Shire;Wentworth Shire;0.0
Leeton Shire;Willoughby, City of;12976.82
Leeton Shire;Wingecarribee Shire;0.0
Leeton Shire;Wollondilly Shire;0.0
Leeton Shire;Wollongong, City of;12948.04
Leeton Shire;Woollahra, Municipality of;4800.14
Leeton Shire;Yass Valley Council;12760.18
Lismore, City of;Lithgow, City of;0.0
Lismore, City of;Liverpool, City of;0.0
Lismore, City of;Liverpool Plains Shire;4800.14
Lismore, City of;Lockhart Shire;4800.14
Lismore, City of;Lord Howe Island;16815.65
Lismore, City of;Maitland, City of;0.0
Lismore, City of;Mid-Coast Council;7542.28
Lismore, City of;Mid-Western Regional;16280.78
Lismore, City of;Moree Plains Shire;16008.07
Lismore, City of;Mosman Council;16476.24
Lismore, City of;Murray River Council;7542.28
Lismore, City of;Murrumbidgee Council;16140.92
Lismore, City of;Muswellbrook Shire;4800.14
Lismore, City of;Nambucca Shire;16339.29
Lismore, City of;Narrandera Shire;4800.14
Lismore, City of;Narrabri Shire;4800.14
Lismore, City of;Narromine Shire;4800.14
Lismore, City of;Newcastle, City of;16445.28
Lismore, City of;Northern Beaches Council;7542.28
Lismore, City of;North Sydney Council;7542.28
Lismore, City of;Oberon Shire;4800.14
Lismore, City of;Orange, City of;6225.91
Lismore, City of;Parkes Shire;4800.14
Lismore, City of;Parramatta Council, City of;16458.86
Lismore, City of;Penrith, City of;0.0
Lismore, City of;Port Macquarie-Hastings Council;16380.12
Lismore, City of;Port Stephens Council;7542.28
Lismore, City of;Queanbeyan-Palerang Regional Council;18533.09
Lismore, City of;Randwick, City of;16482.34
Lismore, City of;Richmond Valley Council;7542.28
Lismore, City of;Ryde, City of;16466.06
Lismore, City of;Singleton Council;7542.28
Lismore, City of;Shellharbour, City of;16505.42
Lismore, City of;Shoalhaven, City of;0.0
Lismore, City of;Snowy Monaro Regional Council;16498.29
Lismore, City of;Snowy Valleys Council;7542.28
Lismore, City of;Strathfield, Municipality of;16469.22
Lismore, City of;Sutherland Shire;16478.15
Lismore, City of;Sydney, City of;0.0
Lismore, City of;Tamworth Regional Council;7542.28
Lismore, City of;Temora Shire;4800.14
Lismore, City of;Tenterfield Shire;4800.14
Lismore, City of;Tweed Shire;16182.75
Lismore, City of;Unincorporated Far West;6889.76
Lismore, City of;Upper Hunter Shire;16319.91
Lismore, City of;Upper Lachlan Shire;16388.36
Lismore, City of;Uralla Shire;4800.14
Lismore, City of;Wagga Wagga, City of;16299.0
Lismore, City of;Walcha Shire;4800.14
Lismore, City of;Walgett Shire;4800.14
Lismore, City of;Warren Shire;4800.14
Lismore, City of;Warrumbungle Shire;16175.37
Lismore, City of;Waverley Council;7542.28
Lismore, City of;Weddin Shire;4800.14
Lismore, City of;Wentworth Shire;4800.14
Lismore, City of;Willoughby, City of;16471.62
Lismore, City of;Wingecarribee Shire;4800.14
Lismore, City of;Wollondilly Shire;4800.14
Lismore, City of;Wollongong, City of;16496.48
Lismore, City of;Woollahra, Municipality of;0.0
Lismore, City of;Yass Valley Council;16394.35
Lithgow, City of;Liverpool, City of;0.0
Lithgow, City of;Liverpool Plains Shire;4800.14
Lithgow, City of;Lockhart Shire;4800.14
Lithgow, City of;Lord Howe Island;16815.65
Lithgow, City of;Maitland, City of;0.0
Lithgow, City of;Mid-Coast Council;7542.28
Lithgow, City of;Mid-Western Regional;16280.78
Lithgow, City of;Moree Plains Shire;16008.07
Lithgow, City of;Mosman Council;16476.24
Lithgow, City of;Murray River Council;7542.28
Lithgow, City of;Murrumbidgee Council;16140.92
Lithgow, City of;Muswellbrook Shire;4800.14
Lithgow, City of;Nambucca Shire;16339.29
Lithgow, City of;Narrandera Shire;4800.14
Lithgow, City of;Narrabri Shire;4800.14
Lithgow, City of;Narromine Shire;4800.14
Lithgow, City of;Newcastle, City of;16445.28
Lithgow, City of;Northern Beaches Council;7542.28
Lithgow, City of;North Sydney Council;7542.28
Lithgow, City of;Oberon Shire;4800.14
Lithgow, City of;Orange, City of;6225.91
Lithgow, City of;Parkes Shire;4800.14
Lithgow, City of;Parramatta Council, City of;16458.86
Lithgow, City of;Penrith, City of;0.0
Lithgow, City of;Port Macquarie-Hastings Council;16380.12
Lithgow, City of;Port Stephens Council;7542.28
Lithgow, City of;Queanbeyan-Palerang Regional Council;18533.09
Lithgow, City of;Randwick, City of;16482.34
Lithgow, City of;Richmond Valley Council;7542.28
Lithgow, City of;Ryde, City of;16466.06
Lithgow, City of;Singleton Council;7542.28
Lithgow, City of;Shellharbour, City of;16505.42
Lithgow, City of;Shoalhaven, City of;0.0
Lithgow, City of;Snowy Monaro Regional Council;16498.29
Lithgow, City of;Snowy Valleys Council;7542.28
Lithgow, City of;Strathfield, Municipality of;16469.22
Lithgow, City of;Sutherland Shire;16478.15
Lithgow, City of;Sydney, City of;0.0
Lithgow, City of;Tamworth Regional Council;7542.28
Lithgow, City of;Temora Shire;4800.14
Lithgow, City of;Tenterfield Shire;4800.14
Lithgow, City of;Tweed Shire;16182.75
Lithgow, City of;Unincorporated Far West;6889.76
Lithgow, City of;Upper Hunter Shire;16319.91
Lithgow, City of;Upper Lachlan Shire;16388.36
Lithgow, City of;Uralla Shire;4800.14
Lithgow, City of;Wagga Wagga, City of;16299.0
Lithgow, City of;Walcha Shire;4800.14
Lithgow, City of;Walgett Shire;4800.14
Lithgow, City of;Warren Shire;4800.14
Lithgow, City of;Warrumbungle Shire;16175.37
Lithgow, City of;Waverley Council;7542.28
Lithgow, City of;Weddin Shire;4800.14
Lithgow, City of;Wentworth Shire;4800.14
Lithgow, City of;Willoughby, City of;16471.62
Lithgow, City of;Wingecarribee Shire;4800.14
Lithgow, City of;Wollondilly Shire;4800.14
Lithgow, City of;Wollongong, City of;16496.48
Lithgow, City of;Woollahra, Municipality of;0.0
Lithgow, City of;Yass Valley Council;16394.35
Liverpool, City of;Liverpool Plains Shire;4800.14
Liverpool, City of;Lockhart Shire;4800.14
Liverpool, City of;Lord Howe Island;16815.65
Liverpool, City of;Maitland, City of;0.0
Liverpool, City of;Mid-Coast Council;7542.28
Liverpool, City of;Mid-Western Regional;16280.78
Liverpool, City of;Moree Plains Shire;16008.07
Liverpool, City of;Mosman Council;16476.24
Liverpool, City of;Murray River Council;7542.28
Liverpool, City of;Murrumbidgee Council;16140.92
Liverpool, City of;Muswellbrook Shire;4800.14
Liverpool, City of;Nambucca Shire;16339.29
Liverpool, City of;Narrandera Shire;4800.14
Liverpool, City of;Narrabri Shire;4800.14
Liverpool, City of;Narromine Shire;4800.14
Liverpool, City of;Newcastle, City of;16445.28
Liverpool, City of;Northern Beaches Council;7542.28
Liverpool, City of;North Sydney Council;7542.28
Liverpool, City of;Oberon Shire;4800.14
Liverpool, City of;Orange, City of;6225.91
Liverpool, City of;Parkes Shire;4800.14
Liverpool, City of;Parramatta Council, City of;16458.86
Liverpool, City of;Penrith, City of;0.0
Liverpool, City of;Port Macquarie-Hastings Council;16380.12
Liverpool, City of;Port Stephens Council;7542.28
Liverpool, City of;Queanbeyan-Palerang Regional Council;18533.09
Liverpool, City of;Randwick, City of;16482.34
Liverpool, City of;Richmond Valley Council;7542.28
Liverpool, City of;Ryde, City of;16466.06
Liverpool, City of;Singleton Council;7542.28
Liverpool, City of;Shellharbour, City of;16505.42
Liverpool, City of;Shoalhaven, City of;0.0
Liverpool, City of;Snowy Monaro Regional Council;16498.29
Liverpool, City of;Snowy Valleys Council;7542.28
Liverpool, City of;Strathfield, Municipality of;16469.22
Liverpool, City of;Sutherland Shire;16478.15
Liverpool, City of;Sydney, City of;0.0
Liverpool, City of;Tamworth Regional Council;7542.28
Liverpool, City of;Temora Shire;4800.14
Liverpool, City of;Tenterfield Shire;4800.14
Liverpool, City of;Tweed Shire;16182.75
Liverpool, City of;Unincorporated Far West;6889.76
Liverpool, City of;Upper Hunter Shire;16319.91
Liverpool, City of;Upper Lachlan Shire;16388.36
Liverpool, City of;Uralla Shire;4800.14
Liverpool, City of;Wagga Wagga, City of;16299.0
Liverpool, City of;Walcha Shire;4800.14
Liverpool, City of;Walgett Shire;4800.14
Liverpool, City of;Warren Shire;4800.14
Liverpool, City of;Warrumbungle Shire;16175.37
Liverpool, City of;Waverley Council;7542.28
Liverpool, City of;Weddin Shire;4800.14
Liverpool, City of;Wentworth Shire;4800.14
Liverpool, City of;Willoughby, City of;16471.62
Liverpool, City of;Wingecarribee Shire;4800.14
Liverpool, City of;Wollondilly Shire;4800.14
Liverpool, City of;Wollongong, City of;16496.48
Liverpool, City of;Woollahra, Municipality of;0.0
Liverpool, City of;Yass Valley Council;16394.35
Liverpool Plains Shire;Lockhart Shire;0.0
Liverpool Plains Shire;Lord Howe Island;13723.33
Liverpool Plains Shire;Maitland, City of;4800.14
Liverpool Plains Shire;Mid-Coast Council;11970.29
Liverpool Plains Shire;Mid-Western Regional;12839.76
Liverpool Plains Shire;Moree Plains Shire;12820.17
Liverpool Plains Shire;Mosman Council;12980.71
Liverpool Plains Shire;Murray River Council;11970.29
Liverpool Plains Shire;Murrumbidgee Council;12460.67
Liverpool Plains Shire;Muswellbrook Shire;0.0
Liverpool Plains Shire;Nambucca Shire;13128.08
Liverpool Plains Shire;Narrandera Shire;0.0
Liverpool Plains Shire;Narrabri Shire;0.0
Liverpool Plains Shire;Narromine Shire;0.0
Liverpool Plains Shire;Newcastle, City of;13031.73
Liverpool Plains Shire;Northern Beaches Council;11970.29
Liverpool Plains Shire;North Sydney Council;11970.29
Liverpool Plains Shire;Oberon Shire;0.0
Liverpool Plains Shire;Orange, City of;10787.22
Liverpool Plains Shire;Parkes Shire;0.0
Liverpool Plains Shire;Parramatta Council, City of;12958.91
Liverpool Plains Shire;Penrith, City of;4800.14
Liverpool Plains Shire;Port Macquarie-Hastings Council;13106.19
Liverpool Plains Shire;Port Stephens Council;11970.29
Liverpool Plains Shire;Queanbeyan-Palerang Regional Council;14515.99
Liverpool Plains Shire;Randwick, City of;12980.67
Liverpool Plains Shire;Richmond Valley Council;11970.29
Liverpool Plains Shire;Ryde, City of;12968.79
Liverpool Plains Shire;Singleton Council;11970.29
Liverpool Plains Shire;Shellharbour, City of;12945.2
Liverpool Plains Shire;Shoalhaven, City of;4800.14
Liverpool Plains Shire;Snowy Monaro Regional Council;12764.7
Liverpool Plains Shire;Snowy Valleys Council;11970.29
Liverpool Plains Shire;Strathfield, Municipality of;12966.08
Liverpool Plains Shire;Sutherland Shire;12958.13
Liverpool Plains Shire;Sydney, City of;4800.14
Liverpool Plains Shire;Tamworth Regional Council;11970.29
Liverpool Plains Shire;Temora Shire;0.0
Liverpool Plains Shire;Tenterfield Shire;0.0
Liverpool Plains Shire;Tweed Shire;13176.16
Liverpool Plains Shire;Unincorporated Far West;11475.95
Liverpool Plains Shire;Upper Hunter Shire;12967.61
Liverpool Plains Shire;Upper Lachlan Shire;12811.59
Liverpool Plains Shire;Uralla Shire;0.0
Liverpool Plains Shire;Wagga Wagga, City of;12625.5
Liverpool Plains Shire;Walcha Shire;0.0
Liverpool Plains Shire;Walgett Shire;0.0
Liverpool Plains Shire;Warren Shire;0.0
Liverpool Plains Shire;Warrumbungle Shire;12812.37
Liverpool Plains Shire;Waverley Council;11970.29
Liverpool Plains Shire;Weddin Shire;0.0
Liverpool Plains Shire;Wentworth Shire;0.0
Liverpool Plains Shire;Willoughby, City of;12976.82
Liverpool Plains Shire;Wingecarribee Shire;0.0
Liverpool Plains Shire;Wollondilly Shire;0.0
Liverpool Plains Shire;Wollongong, City of;12948.04
Liverpool Plains Shire;Woollahra, Municipality of;4800.14
Liverpool Plains Shire;Yass Valley Council;12760.18
Lockhart Shire;Lord Howe Island;13723.33
Lockhart Shire;Maitland, City of;4800.14
Lockhart Shire;Mid-Coast Council;11970.29
Lockhart Shire;Mid-Western Regional;12839.76
Lockhart Shire;Moree Plains Shire;12820.17
Lockhart Shire;Mosman Council;12980.71
Lockhart Shire;Murray River Council;11970.29
Lockhart Shire;Murrumbidgee Council;12460.67
Lockhart Shire;Muswellbrook Shire;0.0
Lockhart Shire;Nambucca Shire;13128.08
Lockhart Shire;Narrandera Shire;0.0
Lockhart Shire;Narrabri Shire;0.0
Lockhart Shire;Narromine Shire;0.0
Lockhart Shire;Newcastle, City of;13031.73
Lockhart Shire;Northern Beaches Council;11970.29
Lockhart Shire;North Sydney Council;11970.29
Lockhart Shire;Oberon Shire;0.0
Lockhart Shire;Orange, City of;10787.22
Lockhart Shire;Parkes Shire;0.0
Lockhart Shire;Parramatta Council, City of;12958.91
Lockhart Shire;Penrith, City of;4800.14
Lockhart Shire;Port Macquarie-Hastings Council;13106.19
Lockhart Shire;Port Stephens Council;11970.29
Lockhart Shire;Queanbeyan-Palerang Regional Council;14515.99
Lockhart Shire;Randwick, City of;12980.67
Lockhart Shire;Richmond Valley Council;11970.29
Lockhart Shire;Ryde, City of;12968.79
Lockhart Shire;Singleton Council;11970.29
Lockhart Shire;Shellharbour, City of;12945.2
